Order Id,order date (DateOrders),shipping date (DateOrders),Shipping Mode,Delivery Status,Late_delivery_risk,Order Status,Customer Id,Customer Segment,Customer Country,Market,Order Region,Category Name,Product Card Id,Order Item Quantity,Sales,Order Item Discount Rate,Benefit per order,Days for shipment (scheduled),Days for shipping (real),Order Item Profit Ratio,Product Description,Order Zipcode,Sales_copy,Sales_copy2
1001.0,01/01/2022 00:00,01/06/2022 00:00,First Class,Delivered,0,CANCELED,,,,Europe,,,1508.0,10.0,396.08,0.033,,2,5,0.2031,,,396.1203332711053,396.01478344573246
1002.0,01/01/2022 02:00,01/06/2022 02:00,Air,,0,,37271.0,Home Office,,USCA,,Furniture,,26.0,,,659.5,2,5,0.2865,,,,
1003.0,01/01/2022 04:00,01/05/2022 04:00,,Shipping canceled,0,,66522.0,,,,,Sports,1041.0,35.0,835.99,0.436,7872185.71,6,4,0.3051,,,836.0825179327466,835.9044952958195
1004.0,01/01/2022 06:00,01/07/2022 06:00,UNKNOWN,Returned,0,CANCELED,30064.0,Consumer,United States,USCA,LATAM,Clothing,,21.0,,,899.15,4,6,0.1374,,,,
1005.0,01/01/2022 08:00,01/04/2022 08:00,Road,Delivered,0,,50075.0,,United States,,Pacific Asia,,,16.0,5197.87,,,2,3,0.1343,,,5198.371467168573,5197.357448811006
1006.0,01/01/2022 10:00,12/04/2021 10:00,,Delivered,0,CANCELED,96235.0,,,Africa,USCA,,9805.0,315000.0,,0.369,21248304.76,3,1,0.3282,,,,
,01/01/2022 12:00,01/07/2022 12:00,UNKNOWN,???,0,,,,,LATAM,,,,7.0,745.28,0.274,34094013.13,4,6,0.1366,,,745.3366979426825,745.2068749002001
,01/01/2022 14:00,01/03/2022 14:00,Road,Delivered,0,,,,,,,,8964.0,44.0,2247.47,,-109.33,6,2,-0.0486,,,2247.715577626798,2247.233647642189
1009.0,01/01/2022 16:00,01/07/2022 16:00,N/A,,0,,61489.0,,,Europe,,,,37.0,7891.69,0.111,23091941.42,4,6,0.1439,,,7892.466352619216,7890.89179109071
,01/01/2022 18:00,12/03/2021 18:00,Road,Late delivery,0,,74240.0,Home Office,,,Pacific Asia,Books,6674.0,8.0,2096.16,0.358,401.82,2,4,0.1917,,,2096.3601824683183,2095.9611377484393
,01/01/2022 20:00,01/04/2022 20:00,UNKNOWN,,0,,75270.0,Home Office,,,,,,-298.0,-229006.43,0.236,,4,3,0.2475,,,-229029.33513290744,-228983.50615233523
,01/01/2022 22:00,01/05/2022 22:00,,Delivered,0,,,,,,Pacific Asia,,,702945.0,8855.06,0.25,-162.39,5,4,-0.0183,,,8855.946628238411,8854.18376678927
,01/02/2022 00:00,01/06/2022 00:00,,Delivered,0,,44110.0,Consumer,,,,Sports,,18.0,797.95,0.094,,2,4,0.1801,,,798.0256389516095,797.8748621662122
,01/02/2022 02:00,01/05/2022 02:00,,Shipping canceled,0,,,Corporate,,,,,,10.0,,0.273,510.34,5,3,0.1944,,,,
1015.0,01/02/2022 04:00,12/27/2021 04:00,Second Class,Returned,0,,61191.0,,,Pacific Asia,,Electronics,4273.0,22.0,14872825.75,0.185,39377624.1,3,2,0.2219,,,14874313.03334074,14871338.46838407
1016.0,01/02/2022 06:00,12/17/2021 06:00,Air,Late delivery,0,CANCELED,99434.0,Corporate,,,Pacific Asia,,,22.0,2487.46,0.099,146.59,6,3,0.0589,,,2487.7028447728553,2487.198173490641
,01/02/2022 08:00,01/05/2022 08:00,Standard Class,Pending,0,,,,Brazil,Africa,USCA,,5209.0,29.0,,,500.41,4,3,0.2566,,,,
1018.0,01/02/2022 10:00,01/06/2022 10:00,Sea,,0,,62275.0,,,,,,8414.0,39.0,6843.19,0.096,32848071.74,4,4,0.2658,,,6843.8901919400705,6842.50192362878
1019.0,01/02/2022 12:00,12/25/2021 12:00,Sea,,0,,97278.0,,Brazil,,,,,533282.0,,0.135,9.73,5,7,0.0049,,,,
1020.0,01/02/2022 14:00,01/05/2022 14:00,N/A,,0,,28834.0,Consumer,,,Europe,Books,7671.0,35.0,5745.19,,14502625.65,6,3,0.2589,,,5745.761069137132,5744.610932656942
1021.0,01/02/2022 16:00,01/07/2022 16:00,Second Class,,0,,79825.0,,India,LATAM,Europe,Electronics,3162.0,36.0,9082.55,,1785.06,2,5,0.1965,,,9083.459674522435,9081.645661031764
1022.0,01/02/2022 18:00,12/25/2021 18:00,,,1,,70624.0,,,,,,,35.0,1516.84,0.128,5575023.0,3,1,0.1246,,,1516.9965483003666,1516.6902790870515
1023.0,01/02/2022 20:00,12/07/2021 20:00,,,0,,33495.0,,United States,,Africa,,,46.0,,,16619628.64,2,1,0.2617,,,,
1024.0,01/02/2022 22:00,01/07/2022 22:00,Standard Class,,0,SUSPECTED_FRAUD,59740.0,Home Office,India,,,,,-173.0,-109550.07,,1.81,2,5,0.001,,,-109561.04874990376,-109539.11169825374
,01/03/2022 00:00,12/15/2021 00:00,Road,,0,,57733.0,,,,,Sports,5815.0,37.0,,0.406,186.1,4,5,0.0929,,,,
,01/03/2022 02:00,01/09/2022 02:00,,???,0,,64814.0,,,,LATAM,,1056.0,2.0,613.58,0.088,188.46,4,6,0.3071,,,613.6373584139063,613.5084309113245
1027.0,01/03/2022 04:00,01/07/2022 04:00,N/A,,0,SUSPECTED_FRAUD,95267.0,,,,Pacific Asia,,1584.0,17.0,2300.0,0.288,16.76,5,4,0.0073,,,2300.2178846920265,2299.7610639507257
1028.0,01/03/2022 06:00,01/06/2022 06:00,,,0,,,,,,,Clothing,,382000.0,1539.48,,,5,3,0.3212,,,1539.621019208257,1539.3126343722124
1029.0,01/03/2022 08:00,01/04/2022 08:00,,Returned,0,CLOSED,46894.0,,,Europe,LATAM,,,-295.0,-421818.22,0.433,1556.89,6,1,0.2017,,,-421860.3908456124,-421776.0383131518
1030.0,01/03/2022 10:00,12/23/2021 10:00,,???,0,COMPLETE,,,India,,,,2586.0,6.0,,0.293,,3,7,-0.0473,,,,
1031.0,01/03/2022 12:00,12/17/2021 12:00,Air,Delivered,0,,17963.0,,Germany,,,,,-116.0,-160279.57,0.426,36.69,4,2,0.0122,,,-160295.6034696502,-160263.53983971477
1032.0,01/03/2022 14:00,12/29/2021 14:00,Air,Late delivery,0,,16697.0,,Germany,,Europe,Books,,20.0,4511.22,0.066,,2,7,-0.0291,,,4511.674346500277,4510.753023849672
1033.0,01/03/2022 16:00,01/05/2022 16:00,,Advance shipping,0,,47341.0,,India,Pacific Asia,Africa,,,27.0,,0.018,1800.41,4,2,0.2588,,,,
,01/03/2022 18:00,01/07/2022 18:00,UNKNOWN,,0,,83377.0,,France,,,Electronics,7674.0,-142.0,-402772.95,0.209,,2,4,0.0517,,,-402813.22218279215,-402732.6702105098
1035.0,01/03/2022 20:00,12/11/2021 20:00,N/A,Late delivery,0,,,,Germany,,Pacific Asia,,,690683.0,18984424.04,,,6,1,0.1779,,,18986322.49589818,18982525.58235958
,01/03/2022 22:00,01/09/2022 22:00,,Shipping canceled,0,,64440.0,Corporate,Germany,Pacific Asia,,,,-400.0,-321553.31,0.417,956.28,4,6,0.2903,,,-321585.46276108065,-321521.15011411544
,01/04/2022 00:00,01/07/2022 00:00,Standard Class,Delivered,0,,78580.0,,,,,,,-258.0,-16819.51,,3903.05,2,3,0.3109,,,-16821.18516101678,-16817.829253563883
1038.0,01/04/2022 02:00,12/10/2021 02:00,,,0,PROCESSING,69671.0,,,USCA,Pacific Asia,Clothing,,23.0,,0.143,2619.2,3,4,0.2864,,,,
1039.0,01/04/2022 04:00,12/15/2021 04:00,,Returned,0,,63361.0,,,,,,9690.0,12.0,,,84.26,5,1,0.1511,,,,
1040.0,01/04/2022 06:00,01/06/2022 06:00,Second Class,Advance shipping,0,,,,India,Europe,,,,47.0,10639.16,0.321,24325024.78,5,2,0.007,,,10640.240774412367,10638.079292408978
1041.0,01/04/2022 08:00,01/07/2022 08:00,UNKNOWN,,1,,57563.0,,,,USCA,,2230.0,18.0,422.58,,,5,3,0.089,,,422.6241396868069,422.53325016414516
1042.0,01/04/2022 10:00,12/29/2021 10:00,,???,0,PENDING,98863.0,,,LATAM,,,,45.0,33140763.17,,,5,1,0.084,,,33144077.23345671,33137449.091682702
