Order Id,order date (DateOrders),shipping date (DateOrders),Shipping Mode,Delivery Status,Late_delivery_risk,Order Status,Customer Id,Customer Segment,Customer Country,Market,Order Region,Category Name,Product Card Id,Order Item Quantity,Sales,Order Item Discount Rate,Benefit per order,Days for shipment (scheduled),Days for shipping (real),Order Item Profit Ratio
1001,01/01/2022 00:00,01/02/2022 00:00,Same Day,Shipping on time,0,PENDING,34322,Consumer,Brazil,Europe,Pacific Asia,Clothing,9011,32,2407.83,0.334,721.06,2,1,0.2995
1002,01/01/2022 02:00,01/07/2022 02:00,Standard Class,Shipping canceled,0,CLOSED,61960,Corporate,Brazil,Pacific Asia,Europe,Clothing,7432,36,7124.08,0.406,344.97,6,6,0.0484
1003,01/01/2022 04:00,01/06/2022 04:00,Standard Class,Shipping on time,0,COMPLETE,96719,Home Office,India,Europe,LATAM,Furniture,2148,14,3936.0,0.269,573.03,4,5,0.1456
1004,01/01/2022 06:00,01/05/2022 06:00,Second Class,Shipping on time,0,PROCESSING,73999,Consumer,France,Europe,Africa,Books,9957,18,1199.88,0.238,-45.73,2,4,-0.0381
1005,01/01/2022 08:00,01/05/2022 08:00,Same Day,Late delivery,1,SUSPECTED_FRAUD,38020,Consumer,Brazil,Europe,Africa,Furniture,9926,47,751.97,0.401,-34.93,5,4,-0.0465
1006,01/01/2022 10:00,01/08/2022 10:00,First Class,Advance shipping,0,PROCESSING,70942,Consumer,France,Europe,USCA,Books,505,42,7432.61,0.205,1725.71,6,7,0.2322
1007,01/01/2022 12:00,01/02/2022 12:00,Second Class,Late delivery,1,PENDING,97005,Corporate,India,Europe,Africa,Books,354,21,5175.85,0.365,-13.88,3,1,-0.0027
1008,01/01/2022 14:00,01/06/2022 14:00,Same Day,Shipping canceled,0,CLOSED,31778,Home Office,United States,USCA,LATAM,Sports,2524,12,3831.46,0.024,647.99,6,5,0.1691
1009,01/01/2022 16:00,01/03/2022 16:00,Second Class,Late delivery,1,SUSPECTED_FRAUD,30914,Corporate,Brazil,USCA,Africa,Clothing,7959,15,5281.16,0.001,1206.23,5,2,0.2284
1010,01/01/2022 18:00,01/02/2022 18:00,First Class,Advance shipping,0,CLOSED,13527,Corporate,United States,Pacific Asia,USCA,Electronics,6017,27,4205.53,0.238,-156.05,5,1,-0.0371
1011,01/01/2022 20:00,01/05/2022 20:00,Second Class,Late delivery,1,SUSPECTED_FRAUD,85801,Home Office,India,LATAM,Africa,Furniture,5174,28,3284.32,0.033,425.31,3,4,0.1295
1012,01/01/2022 22:00,01/08/2022 22:00,Second Class,Shipping canceled,0,CANCELED,84940,Consumer,India,Europe,Africa,Furniture,4210,10,1504.77,0.439,336.56,2,7,0.2237
1013,01/02/2022 00:00,01/08/2022 00:00,Standard Class,Shipping on time,0,CLOSED,47233,Home Office,India,USCA,Pacific Asia,Electronics,4848,4,423.79,0.002,129.63,4,6,0.3059
1014,01/02/2022 02:00,01/08/2022 02:00,First Class,Late delivery,1,CANCELED,88507,Consumer,Brazil,Africa,USCA,Books,6411,25,6168.82,0.323,429.92,6,6,0.0697
1015,01/02/2022 04:00,01/08/2022 04:00,Second Class,Shipping on time,0,PENDING,68638,Consumer,Germany,Africa,LATAM,Books,731,40,3649.0,0.11,1239.52,4,6,0.3397
1016,01/02/2022 06:00,01/08/2022 06:00,Same Day,Advance shipping,0,CLOSED,98099,Home Office,France,Pacific Asia,Pacific Asia,Electronics,5904,8,674.29,0.435,194.07,5,6,0.2878
1017,01/02/2022 08:00,01/06/2022 08:00,First Class,Late delivery,1,PENDING,93038,Corporate,India,Europe,LATAM,Electronics,2286,21,4446.81,0.172,934.96,5,4,0.2103
1018,01/02/2022 10:00,01/03/2022 10:00,Same Day,Late delivery,1,PROCESSING,96373,Corporate,Germany,Africa,Europe,Clothing,7900,8,1943.75,0.012,207.53,3,1,0.1068
1019,01/02/2022 12:00,01/08/2022 12:00,First Class,Shipping canceled,0,CANCELED,45319,Consumer,India,Pacific Asia,Africa,Furniture,2034,12,3585.49,0.012,840.6,2,6,0.2344
