Order Id,order date (DateOrders),shipping date (DateOrders),Shipping Mode,Delivery Status,Late_delivery_risk,Order Status,Customer Id,Customer Segment,Customer Country,Market,Order Region,Category Name,Product Card Id,Order Item Quantity,Sales,Order Item Discount Rate,Benefit per order,Days for shipment (scheduled),Days for shipping (real),Order Item Profit Ratio,Product Description
1001,01/01/2022 00:00,01/07/2022 00:00,Standard Class,Shipping canceled,0,CLOSED,17673,Home Office,Germany,Pacific Asia,LATAM,Clothing,8688,32,11397.19,0.07,2842.96,5,6,0.2494,
1002,01/01/2022 02:00,01/06/2022 02:00,Same Day,Shipping on time,0,SUSPECTED_FRAUD,22375,Corporate,Germany,USCA,Pacific Asia,Furniture,7477,15,1768.11,0.278,244.57,5,5,0.1383,
1003,01/01/2022 04:00,01/06/2022 04:00,Same Day,Late delivery,0,COMPLETE,16455,Corporate,United States,USCA,Pacific Asia,Sports,9598,11,3172.64,0.314,913.69,4,5,0.288,
1004,01/01/2022 06:00,01/04/2022 06:00,Standard Class,Advance shipping,0,CANCELED,69907,Corporate,Brazil,LATAM,Africa,Clothing,8143,15,6085.28,0.157,-58.86,3,3,-0.0097,Some desc
1005,01/01/2022 08:00,01/08/2022 08:00,Second Class,Advance shipping,0,CLOSED,34818,Corporate,France,Europe,USCA,Electronics,1280,-2,1115.76,0.418,203.56,4,7,0.1824,
1006,01/01/2022 10:00,01/02/2022 10:00,Standard Class,Shipping canceled,0,PENDING,94834,Corporate,France,Europe,Europe,Sports,1736,20,4039.73,0.384,775.84,5,1,0.1921,
1007,01/01/2022 12:00,01/08/2022 12:00,Second Class,Shipping canceled,1,CANCELED,19144,Corporate,France,Pacific Asia,LATAM,Books,8255,43,5884.44,0.262,284.86,2,7,0.0484,
1008,01/01/2022 14:00,01/08/2022 14:00,First Class,Shipping canceled,0,CANCELED,51075,Consumer,Germany,,Africa,,5515,-7,6840.71,0.027,-206.26,2,7,-0.0302,Some desc
1009,01/01/2022 16:00,01/03/2022 16:00,Second Class,Late delivery,0,COMPLETE,69666,Corporate,Brazil,,Europe,Clothing,6180,9,2120.49,0.008,347.93,3,2,0.1641,
1010,01/01/2022 18:00,01/05/2022 18:00,First Class,Advance shipping,0,CANCELED,42422,Consumer,India,LATAM,Pacific Asia,Furniture,2413,28,1382438.82,0.288,317.94,2,4,0.1555,
